,Title,IMDB_ID,Date_of_Release,Genre,Cast,Plot summary,IMDB Rating,IMDB Votes,Released_Year
3164,Paap Ki Aandhi,['0234412'],18 Mar 1991,"Action, Drama","Dharmendra, Aditya Pancholi, Farha Naaz, Amrita Singh","Dharma is the local hoodlum in a small town in India, who terrorizes everyone in the town and forces them to pay him ""protection money"". No police officer has dared to stand in Dharma's way...",3.8,32,1991
3165,Samar,['2187114'],13 Jan 2013,"Action, Adventure, Thriller","Vishal, Trisha Krishnan, Sunaina, Manoj Bajpayee",A Forest-trek guide leaves to Thailand in search of his lady love and gets stuck in a web of bizarre events.,5.5,771,2013
3166,Basti,['0377126'],08 Aug 2003,"Action, Crime","Sadashiv Amrapurkar, Liyaqat Bari, Brij Gopal, Rajendra Gupta","Unemployed Ramesh Kulkarni resides in 'Bombay's slums' with his family consisting of his school-master father Vinayak, a younger college-goer brother Satish and his sister Pinky. Ramesh ...",5.9,9,2003
3167,Baarish,['10042074'],25 Apr 2019,Romance,"Asha Negi, Sharman Joshi, Vikram Singh Chauhan","Anuj and Gauravi are two complete strangers, who hail from two completely different backgrounds, both economic and cultural. After his father's death, Anuj quits his studies to take care of his siblings and the family business. Years",8.2,"1,208",2019–
3168,Tyaag,['0275748'],26 Feb 1977,"Drama, Crime, Family","Rajesh Khanna, Sharmila Tagore, Prem Chopra, Sulochana Latkar","Chetan and Sunita are in love with each other, and would like to get married. With blessings from their respective parents, they do get married and live a fairly harmonious life. They are ...",7.5,21,1977
3169,Gehra Daag,['0175651'],N/A,"Crime, Drama, Romance","Rajendra Kumar, Mala Sinha, Madan Puri","While defending his sister's honor, Shanker kills a man. His ashamed family say he is away in Africa, while he spends the next ten years in prison. What happens when the truth comes out, can he ever find forgiveness or acceptance?",7.8,35,1963
3170,Grahasti,['0268342'],N/A,"Drama, Family","Ashok Kumar, Nirupa Roy, Pushpavalli","Harishchandra Khanna lives a wealthy lifestyle in Meerut, India with his wife, Maya, seven daughters, and one son. His eldest daughter has been married to a young man from Lucknow, Gopal. Harish is by profession a motor mechanic and ",6.8,36,1963
3171,Kathputli,['0157887'],N/A,"Drama, Romance","Jeetendra, Mumtaz, Helen, Master Bhagwan","Nisha (Mumtaz) and Vishal (Jeetendra), both orphans, fall in love and get married. However, on the way to their honeymoon they end up in an accident. Vishal needs serious surgical attention...",6.9,33,1971
3172,Upaasna,['0176272'],15 Mar 1971,"Drama, Romance","Sanjay Khan, Mumtaz, Feroz Khan, Helen",Two brothers battle against each other in court when their lady love Shalu is accused of murder.,6.7,28,1971
3173,Jigri Dost,['0175788'],N/A,Drama,"Jeetendra, Mumtaz, K.N. Singh","Advocate Narayan Das lives a comfortable lifestyle in rural India with his wife, Annapurna, who insists on feeding everyone who is hungry; and a lovely daughter, Shobha. Since Shobha is of marriageable age, he has arranged to get her",6.4,38,1969
3174,Bhola Bhala,['0354416'],25 Apr 1978,"Action, Crime, Drama, Romance","Rajesh Khanna, Rekha, Moushumi Chatterjee, Joginder Shelly",Ram Kumar Verma is an honest albeit unsuccessful Insurance Agent. His poor performance and a quick settlement for Renu and her mom gets him transferred to Madhya Pradesh. During the train ...,6.3,28,1978
3175,Ek Nari Ek Brahmachari,['0175590'],N/A,"Comedy, Drama","Mumtaz, Jeetendra, B.B. Bhalla, Birbal","Raisaheb Surajbhan Chaudhary lives a wealthy lifestyle in a palatial mansion with his wife of 30 years, Rajlaxmi, and two sons, Rajkumar, who has been married to Shyama for several years; ...",6.2,28,1971
3176,Phaansi,['0237564'],09 Mar 1978,"Action, Drama","Shashi Kapoor, Sulakshana Pandit, Ranjeet","In seeking to avenge his father's murder, a young man puts an entire village at risk of retribution.",6.6,32,1978
3177,Izzat,['0469443'],07 Oct 2005,"Action, Crime, Thriller","Emil Marwa, Khawar Gomi Sadiq, Assad Siddique, Daud Mirza","Izzat (honor), the concept of honor in North India and Pakistan",6.3,"2,092",2005
3178,Dil Diwana,['0155668'],N/A,"Comedy, Romance","Randhir Kapoor, Jaya Bachchan, Satyendra Kapoor","Vijay lives a wealthy lifestyle with his widowed grandmother in a palatial house. He spends all day in bed, and all night in the company of at least one girlfriend. He travels to Kashmir, has an affair with beautiful Gita, spends the",6.2,36,1974
3179,Kala Dhanda Goray Log,['0091320'],19 May 1986,"Drama, Family","Sunil Dutt, Sanjay Khan, Anita Raj",Sudarshan Kumar is an honest custom officer who gets in bad books of smuggler Durga Das Jetia after he catches his consignment.Sudrashan Kumar is killed and witness Gauri Shankar is framed for his murder following which his wife Ramo,5.7,39,1986
3180,Jwalamukhi,['0239514'],26 Dec 1980,"Action, Romance, Drama","Waheeda Rehman, Shatrughan Sinha, Reena Roy","Abandoned by his biological mother at the time of his birth, Rajesh is brought up by Rai saheb, who also has a son of his own, Vikram. Years later, Rajesh has grown up to be a police inspector, while Vikram is now a customs officer. ",5.9,40,1980
3181,Aap Beati,['0178194'],N/A,"Drama, Family","Shashi Kapoor, Hema Malini, Ashok Kumar, Nirupa Roy","The Kapoor family consists of Kishorilal, his wife Lajjo, son, Prakash, and daughter, Geeta. Kishorilal and Geeta toil hard to ensure that Prakash gets a good education so that he can study...",5.7,32,1976
